ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
908,2,317.5,635,1.54,0,0,0.389,0.526,1
450,4,210,837,4.1,0.5,0.7,0,0,1
1167,14,750,10500,7.36,7.6,2.85,0.4,0.48,1
638,4,261,1046,2.72,3.2,0.5,0,0,0
929,2,105,211,2.31,0,0,0.174,0.174,0
399,2,300,600,1.6,0,0,0.56,0.25,0
1199,4,586,2345,2.685,7.075,2.125,0.87,0.16,1
1082,2,703,1401,11.89,3.09,3.24,0,0,0
771,1,383,383,3.46,0,0,0,0,0
315,2,788,1576,9.2,0,0,1.84,0.64,0
1245,6,294,1764,2.8675,2.125,1.5,0.508,0.48,1
76,4,73,291,0.77,0,0,0.188,0.165,1
650,3,115,345,2.55,0.16,0.1,0,0,0
467,4,127,506,2.4,1.2,0.5,0,0,0
1296,8,267,2132,4.44,3.93,3.69,0,0,0
1020,4,432.75,1731,4.19,0,0,1.191,0.588,1
602,4,315,1261,6.27,0,0.39,0,0,0
866,3,73,218,0.52,0,0,0,0,1
356,3,487,1676,6.6,0,3.5,0.7,0.1,0
427,4,215,862,2.4,1.2,2,0,0,0
665,3,283,850,3,0.42,0.34,0,0,0
949,2,187,374,1.34,0,0,0.309,0.06,1
404,3,475,1425,8.4,6.9,0,0,0,0
1176,7.5,490,3417,7.2,0.64,0.88,0,0.81,1
1073,6,176.333333333333,1058,2.58,0,0,0.75,0.448,0
313,5,1299,6496,19.8,17,16,0,0,0
864,2,357,714,1.97,0,0,0.116,0,1
1064,6,298.833333333333,1793,4.66,0.93,1.96,0.922,1.723,0
739,1,46,46,0.54,0.09,0.16,0,0,0
485,4,175,700,3,0.4,1.2,0,0,0
789,5,193.2,966,1.8,3.4,4.62,0.074,0.302,0
910,3,64.3333333333333,193,0.64,0,0,0.222,0.064,0
148,2,170,339,2.2,0,0,0.1,0.4,0
1007,8,822.5,6580,12.72,0,0,3.668,1.429,0
73,3.5,41,143,0.52,0,0,0.225,0.066,0
940,2,135,275,0.29,0,0,0.55,0.946,0
80,4,65,261,0.63,0,0,0.451,0,1
1129,6,284,1704,2.07,2.825,2.175,0.294,0.064,1
780,4,378.25,1513,4.68,2.49,3.6,0.835,0.783,0
1128,10,251,2508,0.98,2.32,13.06,0.04,0,1
500,4,286,1145,4.44,0,1.26,0,0,1
930,2,73,150,0.17,0,0,0.254,0.806,1
312,3,880,3079,10,15.8,3.9,0,0.18,0
438,4,182,727,3.3,1.4,0,0,0,0
70,3,70,210,0.73,0,0,0,0,0
490,5,332,1662,0,17.44,22.51,0,0,0
303,2,99,199,0.8,0,0,0.08,0.15,0
291,3,113,339,1.4,0,0,0.16,0.3,1
13,3.5,531,1859,5.02,0,0,0.306,1.702,1
147,3,159,477,1.9,0,0,1.32,0.12,1
499,4,192,769,2.84,0,0,0,0,0
272,2,175,350,1.1,0,0,0.31,0.27,0
883,3,347.333333333333,1042,3.21,0,0,0.563,0.744,0
1304,7,573,4111,8,0,1.68,1.013205,0.294,1
3,2,80,159,0.84,0,0,0.415,0.072,0
453,3,60,180,0,2.5,0,0,0,0
125,3.5,69,242,0.95,0,0,0.311,0,1
939,3,210,636,3.28,0,0,0.322,0.067,1
14,6,63,377,1.05,0,0,0.266,0.031,0
818,2,557,1114,3.12,0,0,0,0.57,0
676,5,188,941,4.2,0,0,0,0,1
728,2,136,272,2.1,0,0.07,0,0,0
978,5,142.8,714,2.42,0,0,0.742,0.706,0
1101,6,757,4542,11.42,1.4,0.75,0,0,0
593,6,416,2494,8.71,0.16,0.78,0,0,1
812,2,774,1548,6.46,0,0,0.543,0.434,1
329,2,615,1230,5.2,0,0,1.48,0.35,0
783,3,306,918,3.18,0,9.22,0.826,0.878,0
269,3,137,412,0.94,0,0,0.38,0.13,1
1252,6,690,4135,7.36,1.725,1.675,0.00816,0.06511,1
398,2,475,1076,9.2,0,0,0,0.04,0
1146,4,645,2580,7.5,7.875,4.625,0.75,0.4125,0
46,5,99,495,1.24,0,0,0.587,0.097,0
458,3,167,500,4.2,3.1,1.3,0,0,0
697,2,124,248,1.33,0.07,0.4,0,0,0
508,3,309,928,4.35,0,0,0.807,0.063,0
647,5,139,696,3.02,0.19,0.19,0,0,0
989,5,142.8,714,2.42,0,0,0.742,0.706,1
154,2,44,88,0.4,0,0,0.11,0.03,0
1320,16,484,7740,4.915,4.47,2.525,0.5586,0.4608,0
311,2,416,833,4,0,0,0.86,0,1
730,2,129,258,3.12,0.22,0,0,0,0
258,4,75,301,1.5,0,0,0.08,0.04,0
1050,6,323.5,1941,5.49,0.71,1.52,0.956,2.141,0
1049,6,323.5,1941,5.49,0.71,1.52,0.956,2.141,0
240,3,224,672,1.7,0,0,0.38,0,0
507,4,333,1333,6.79,0,0,0,0.241,1
1042,6,363.166666666667,2179,5.25,1.64,2.35,1.038,2.204,0
1025,6,363.166666666667,2179,5.25,1.64,2.35,1.038,2.204,1
53,3.5,128,447,1.01,0,0,0.604,0.288,1
595,6,221,1327,3.23,0.88,0.32,0,0,1
631,4,127,508,1.88,0.09,0.06,0,0,1
346,2,183,425,5.2,0.7,0,0.07,0.21,0
881,2,967,1934,4.65,0,0,1.981,2.827,0
1018,5,1077.6,5388,11.76,0,0,4.315,1.087,0
553,4,211,843,4.68,0.55,0.39,0,0,0
337,5,97,534,3,0,0,0,1.05,0
887,2,258,516,0.76,0,0,0.14,0.233,0
320,3,571,2010,7.2,0,0,0.94,0.15,1
392,4,410,1435,5.1,0,0,0.8,1.28,0
135,5,123,615,1.67,0,0,0.158,0.111,0
1279,11,675,7425,10.6,4.93,6.4,0,0,0
977,5,142.8,714,2.42,0,0,0.742,0.706,0
242,2,226,451,1.8,0,0,0.42,0.34,0
1077,3,686.333333333333,2059,11.05,0,0,1.599,1.283,0
281,3,206,619,1.6,0,0,0,0.28,1
1289,8.1,220,1629,3.035,1.2,0.51,0,0,1
732,2,108,216,1.54,0.3,0.25,0,0,0
511,5,218,1091,5.18,0,0,0.665,0,1
1273,7,918,6426,21.92,0.53,0,0,0,1
722,1,112,112,1.44,0.04,0.17,0,0,0
256,2,165,330,1.1,0,0,0.47,0.15,1
220,3,344,1031,3.5,0,0,0.16,0.24,1
238,1,221,221,1.7,0,0,0.04,0.3,1
367,6,145,943,3.6,0,2.3,0.29,0,0
428,3,379,1136,6.9,0,0,1.18,0.4,0
585,6,192,1153,4.87,0.35,0.3,0,0,0
520,3,281,844,3.45,5.52,3.93,0.301,0.253,0
247,5,125,625,1.6,0,0,0.13,0.12,1
1298,7,565,3952,6.245,3.6325,5.015,0,0.24615,1
1084,7,424,2965,2.43,4.44,5.82,0.2435,0.3035,1
286,3,235,705,1.7,0,0,0.41,0.23,1
394,2,371,819,3.2,0,0.4,1.2,1.19,0
1201,12,1369,16426,12.92,3.48,5.7,0.856,0,1
879,4,291,874,4.67,0,0,0.31,0.267,0
532,2,596,1191,6.46,0,0,1.07,1.601,0
865,2,87,175,0.94,0,0,0,0,1
799,1,211,211,1.8,0,1.8,0,0,0
22,4.5,52,234,0.63,0,0,0.189,0.221,0
244,1,159,159,1.3,0,0,0.23,0.12,0
1133,6,394,2365,3.565,2.4,1.2875,0.12,0,0
1156,8,665,5301,13.66,8.7,3.05,0.656,1.57,1
947,2,88,182,0.52,0,0,0.084,0.46,0
234,3,229,688,1.7,0,0,0.08,0.26,0
979,5,142.8,714,2.42,0,0,0.742,0.706,0
292,2,81,162,0.8,0,0,0.25,0.03,0
225,2,229,459,1.8,0,0,0.06,0.08,0
679,2,161,322,1.9,0.24,0.16,0,0,0
1079,10,418,4180,6.21,0,2.1,0,0,0
760,3,450.333333333333,1351,5.61,0,0,0.27,0.811,0
784,1,998,998,12.01,0,0,0,0,0
672,3,398,1195,4.2,1.46,0.95,0,0,0
1287,7.25,568,4102,9.035,0.475,2.6,0,0,1
48,1.5,98,147,1.67,0,0,0.418,0.255,0
1209,6,300,1803,4.9375,0,1.25,0.3819,0.1672,1
998,5,744.2,3721,6.72,0,0,1.225,1.177,0
678,2,106,212,0.8,0.21,0.07,0,0,0
431,4,186,744,3.2,0.3,1.6,0,0,1
640,6,370,2220,6.07,2.63,1.26,0,0,1
327,3,321,1124,3.1,0,0,0.3,0.75,1
1248,8,388,3104,6.27,2.9875,1.8625,0.608,0,1
20,6,139,834,1.41,0,0,0.54,0.135,1
932,2,108,216,0.28,0,0,0,0.256,1
362,2,355,710,3.4,0,0,0.65,0.47,0
30,6,81,486,0.84,0,0,0.264,0.03,1
140,3,102,307,0.9,0,0,0.09,0.31,0
899,2,82,164,0.58,0,0,0.233,0.113,1
1264,7.5,493,3694,5.7079,2.756,0.54,0.445,0.369,1
567,5,104,521,1.34,0.13,0.53,0,0,1
1185,14,318,4449,0,13.93,3.6,0,0,1
528,3,596,1787,6.46,0,0,0.942,1.576,1
163,2,113,226,1.4,0,0,0,0.27,0
158,1,1027,1027,3.6,0,0,0.69,0.72,0
807,3,166,498,1.5,0,0,0.135,0.04,0
643,4,134,534,2.2,0.09,0.29,0,0,0
1034,6,363.166666666667,2179,5.25,1.64,2.35,1.038,2.204,0
711,2,123,246,1.3,0.11,0.08,0,0,0
95,2.5,87,217,0.84,0,0,0.502,0,0
237,2,221,443,1.7,0,0,0.36,0.04,0
495,5,217,1086,5.18,0,0,0,0.665,1
119,3.5,69,243,0.93,0,0,0.506,0,0
1237,4,440,1760,5,3.6,3,0,0,0
410,3,188,493,1.5,0,0,0.56,0.23,0
552,4,136,545,3.36,0.38,0.34,0,0,0
1218,5,373,1866,0,13.8,10.6,0,0,0
421,4,162,647,2.4,1.6,0.5,0,0,1
1164,9,638,5742,11.91,2.25,0,0,0,1
675,5,129,646,3.24,0,0,0,0,1
128,5,351,1757,3.25,0,0,0.221,0.173,0
1151,10,376,3760,5.14,2.22,0,0.375,0,0
663,3,110,330,2.24,0.24,0.24,0,0,1
594,6,223,1339,8.21,0.27,0.48,0,0,1
1254,6,392,2352,6.91,1.92,0.66,0,0.0336,0
1235,6,601,3608,11.7,2.2,1.1,0.13,0,1
555,5,270,1351,3.19,1.41,1.84,0,0,1
749,2,73,145,1.32,0.18,0.09,0,0,0
572,6,199,1195,7.9,0.89,1.04,0,0,0
1116,7,619,4333,11.52,1,1,0.414,1.167,1
703,3,119,356,1.82,0.28,0.2,0,0,0
1016,5,1077.6,5388,11.76,0,0,4.315,1.087,1
966,6,1448,8688,12.58,0,0,2.926,3.01,0
66,5.5,269,1482,2.23,0,0,0.418,0,1
