ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
1,6,289,1736,4.99,0,0,0.534,0.319,0
2,2.5,88,219,0.84,0,0,0,0,0
4,2,80,159,0.84,0,0,0.415,0.072,0
5,3,67,201,0.84,0,0,0.221,0,0
6,2.5,71,177,0.84,0,0,0.434,0,0
7,5.5,80,440,0.84,0,0,0.328,0.021,1
8,6,118,710,1.24,0,0,0.079,0.093,0
9,3,154,461,1.7,0,0,0.96,0.754,0
10,5,89,443,1.21,0,0,0.073,0.215,0
11,4.5,272,1225,1.62,0,0,0.223,0.034,1
12,4,120,479,0.84,0,0,0.8,0.174,1
15,4,102,408,1.74,0,0,0.473,0.123,0
16,4,106,424,2.23,0,0,0.575,0.193,0
17,4,88,352,1.05,0,0,0.539,0.445,1
18,3,35,106,0.84,0,0,0.082,0,0
19,5.5,130,715,0.94,0,0,0.348,0,1
21,5.5,54,299,0.77,0,0,0.262,0.274,1
23,5.5,143,789,1.86,0,0,0,0,1
24,4.5,75,338,1.39,0,0,0.273,0.144,1
25,7.5,126,946,1.11,0,0,0.172,0.461,1
26,4.5,64,290,0.57,0,0,0.6,0.233,0
27,6,250,1498,2.3,0,0,0.416,0.111,1
28,4,101,403,1.05,0,0,0.347,0,0
29,5.5,158,870,1.46,0,0,0.89,0,1
31,5,84,418,0.84,0,0,0.473,0.031,1
32,5,160,801,1.33,0,0,0.305,0,1
33,6,122,729,1.25,0,0,0.514,0.049,0
34,5.5,45,248,0.63,0,0,0.11,0.112,0
35,5.5,93,510,1.11,0,0,0.528,0.185,0
36,5,99,496,1.11,0,0,0.699,0,1
37,3.5,105,369,0.78,0,0,0,0.173,1
38,3,102,306,0.78,0,0,0.413,0,0
39,5.5,97,532,1.05,0,0,0.771,0.134,0
40,6.5,126,818,1.25,0,0,0.372,0.055,1
41,6.5,126,818,1.25,0,0,0.372,0.055,1
42,6.5,250,1623,2.3,0,0,0.446,0.111,1
43,3,53,160,1.03,0,0,0,0,1
44,5.5,87,478,0.77,0,0,0.387,0,0
45,4,438,1752,3,0,0,0.841,0.468,0
47,7,110,771,1.04,0,0,0.169,0.306,1
49,3,124,371,1.08,0,0,0.279,0.525,0
50,6,250,1498,2.3,0,0,0.429,0.111,1
51,3.5,59,207,1.02,0,0,0.223,0.376,1
52,3.5,66,232,0.63,0,0,0.531,0.297,1
54,3.5,60,211,0.63,0,0,0.135,0.084,0
55,3.5,49,170,0.84,0,0,0.274,0.168,1
56,3.5,22,75,0.42,0,0,0,0.082,1
57,3,37,110,0.63,0,0,0.134,0,0
58,3,56,168,0.77,0,0,0.441,0.138,0
59,4,75,298,0.84,0,0,0.431,0.373,0
60,3,59,176,0.63,0,0,0.19,0,1
